address,hasOwner,Register Smart Contract Address,RegisterAccess Smart Contract Address,Token Address,TokenShop Address,TransferUSDCBasic Address,MintOnSepolia Transaction ID,Your transaction in the Bootcamp's WeatherFunctions
0xc1af397fA9522276b5722Dbe44Bd2a7b9c57e7Cc,false,false,false,false,false,true,true,true
0x0183058A0e71F093E75F1f72F8273Ac64685E781,false,false,false,false,false,true,false,false
0x13111f4FA6598c80c2CCC291e267fA250fB4e1ca,false,false,false,false,false,true,true,true
0x04c453667ff2b0831D20b1915Bd4b75cc7f43051,false,false,false,false,false,true,true,true
0xB217390Fba1c93d5197cbDD4346990B6b48D1662,false,false,false,false,false,true,true,true
0x3994ae6c4c6BfCC3a4Ef690376221e8A0eF5Fe07,false,false,false,false,false,true,true,true
0xe9bED22Ecee25189dbb14f5032ce8181Ef8e38a8,false,false,false,false,false,true,true,true
0x15897b656ace1a9F8C91EFb63839CF8c5DfEd08A,false,false,false,false,false,true,true,true
0x7dd92cBA8402bB7a10879709CD4Dc851767bda91,false,false,false,false,false,true,true,true
0xf2B29602ACb3316eAF4F5b330E57E166d918c1a7,false,false,false,false,false,false,true,false
0xF16b4C16e7377e7c05a2Fd77B9E4016f80518fbe,false,false,false,false,false,true,true,true
0xcE1804A5076B479454F14dd4FCA995c1DC129C23,false,false,false,false,false,true,false,false
0xD74D5E9Dd085b19c2f80876f2Ea673B2a7CFEE3e,false,false,false,false,false,false,true,false
0xe672EAe72b0Ea382203Aacab24c6Da5739Db54aB,false,false,false,false,false,true,true,true
0x9dBEb19A94a26690E2548E1510975251f6CFa4D1,false,false,false,false,false,true,true,true
0x8dC4aeB573fD5C38643FE39B228967fD5A6AE44A,false,false,false,false,false,true,true,true
0xf9eF9c2A8c0A85d27Ae6Eb4652D0720Cc9848089,false,false,false,false,false,true,true,true
0x430Ecb6af8BDfe21718833a63eceEeCD5687236b,false,false,false,false,false,false,true,false
0xa163f6Eb63B7e343411b8De6818BBd794A045860,false,false,false,false,false,true,true,true
0x05EB40D03e2700B4F7551b398952ec61107768C5,false,false,false,false,false,true,true,true
0x2c01f4e81AA6C88386B6bed8cce5B7E6b1289ae2,false,false,false,false,false,true,true,true
0x2D94e7aBECca48FB2e0804d3629B4F967C93ec23,false,false,false,false,false,true,true,true
0x9547c80683659545ECF836b815709BD2f3adf11a,false,false,false,false,false,true,true,true
0x108af5382f6f460D1C625f71E4cFcF468727A374,false,false,false,false,false,true,true,true
0xeF1CF90A5a42FE4df9c8D17d5226a6cEa389d563,false,false,false,false,false,true,false,false
0x045cAF785c5b3D5E435c6628365fC8F78554E400,false,false,false,false,false,true,true,true
0xbDd37e1d042a3542F0F6E445C63a25FeF4e04726,false,false,false,false,false,true,true,true
0xefffaaee479a508319aac6557fdfb0b64f97a489,false,false,false,false,false,true,true,true
0xeBCAfb63A4Aeced08Ba33122e69bbfE3b154C006,false,false,false,false,false,false,true,true
0xfb40D368C241FEa8c15Df684eE56196A9c69eC72,false,false,false,false,false,true,true,true
0x2700f306F6B57712185cD77627eE7bF7FD774C08,false,false,false,false,false,true,true,true
0xefB738860ad5261C7aAbB0daE33D8d270661394b,false,false,false,false,false,true,false,true
0x4Fb8a9Be3879d2F3a867fb6e5b1c48358fF99665,false,false,false,false,false,true,true,true
0x3346666F43A147eE8d2Cb77944Fe01E6213c8D98,false,false,false,false,false,true,true,true
0x9B2029f9BF21e0C1Af861B134C92A15d70D188c1,false,false,false,false,false,true,true,true
0x72c71bEc88ED986CDaaaB8213132FcA8F8B0B524,false,false,false,false,false,true,true,true
0xddF00C34c9B8263Bb58501Ac6fE1cDaEf6cb82A3,false,false,false,false,false,true,true,true
0x0dE0B0C9532d951d940A113CC039867FB5465126,false,false,false,false,false,true,true,false
0x3C7BC8168c2472CC60D1E425c05A7Cf101394D16,false,false,false,false,false,true,false,true
0xd356AD3828FCa2C5cB84fD5EEEAE57Ab2Ab20C68,false,false,false,false,false,true,false,true
0x7f2fbeD27ebFECC8eda1cbd5df763eFCb0fbC5eb,false,false,false,false,false,true,true,true
0x1ea0f72cde653dd69d2ebd40c73c0405948ccad7,false,false,false,false,false,true,true,true
0x00839a4F507E16D3D8c0eD04068A6F9557E79E3e,false,false,false,false,false,true,true,true
0x432D01Ce2636fE0Fb8FC083A61c9CC174415D891,false,false,false,false,false,false,true,true
0xF5C41f06a57905AC45dd7a1f8A7F38426550B906,false,false,false,false,false,true,true,true
0x3B4c12339A246eDfe8c6CFE084A7807BaD0E51d4,false,false,false,false,false,true,true,true
0xC38E6eB678e36a9188e94624312E1de537A404D4,false,false,false,false,false,false,true,true
0xcaC90c64BF82840ac34aE5C50Fc8c3f6CD6b95d6,false,false,false,false,false,true,true,true
0x64db118790c827f016b0A7C7131FaDACf272D170,false,false,false,false,false,true,true,true
0x9Ea274ABdDB42E69feF8b155E16B7700dFD22b6B,false,false,false,false,false,true,false,false
0x9Ea274ABdDB42E69feF8b155E16B7700dFD22b6B,false,false,false,false,false,false,false,false
0xa10c573E2098636a008980c47887b605E70D2a38,false,false,false,false,false,true,true,true
0x365305C177cAD6b1440F472a0c3CAcd49A7EA9ca,false,false,false,false,false,true,false,false
0xf3f7f86e2efb5f295552ee12598e73658f5c3a29,false,false,false,false,false,true,true,false
0xeB1A1f54f0db797ffcfa1E59d93711A75d742c4d,false,false,false,false,false,true,true,true
0x2296a55Af18347ee464714ebf20EAa62707087eE,false,false,false,false,false,true,true,true
0x7E05c91bB358A837d78688682B4A6417cdb3D6DC,false,false,false,false,false,true,false,false
0xb04aeF2a3d2D86B01006cCD4339A2e943d9c6480,false,false,false,false,false,true,true,true
0x001c06A318A56bdEcdE47CC91A1A52F804CDFcb7,false,false,false,false,false,false,false,true
0xb5883B348e6271d93c24221C249820e5186C91A6,false,false,false,false,false,true,true,true
0xA82182a1DDc8DE1D5EF965976dad8e3fa02c5d51,false,false,false,false,false,true,true,true
0xF652f678D3A057081ebb78f8c5417D77081F9Dc3,false,false,false,false,false,true,true,true
0xe42942E425D9558F588A5D41E2F034a36467bAc9,false,false,false,false,false,true,true,true
0xdC868c975AFfD62299632725A9eCFb9337698D66,false,false,false,false,false,false,true,true
0xa35f25183ee22d08F519Cf3BebC322a82DC3779F,false,false,false,false,false,false,false,false
0x998E281a58002aD4C9e7CBf2785BAAfAC822915E,false,false,false,false,false,true,true,true
0x0E99Ff98338c7D7928458f8F72d835Bcdb3d835B,false,false,false,false,false,true,true,true
0x855693793F57B41b4aBF72a2a197Ae58221E22D9,false,false,false,false,false,true,true,true
0x9703cb846Ce6259Ed063407aCDfb8aF8BD22D1fD,false,false,false,false,false,true,true,true
0x8A8964c27189Da3CAe9780Fa5cDb90e734b6D8EB,false,false,false,false,false,true,true,true
0x84D2301e8115306aFC2793Fdf075b912A4CabfF1,false,false,false,false,false,true,false,false
0x5562B677763D46F7Ea93C24Ac486fb967150Ec16,false,false,false,false,false,true,true,true
0x40a93592026d85a90F7128F670c70F9b23b9Ed08,false,false,false,false,false,true,true,true
0xBA1fB1010a3ff55857eBf70a7DbE1D40a6C80cEA,false,false,false,false,false,true,true,true
0x1958eEF3D37F7A74baD5bE013d7b50C9f4C23084,false,false,false,false,false,true,true,true
0x0f260D5B48a08B4141CE16275E5B35aA63Fe4F94,false,false,false,false,false,true,true,true
0x9F542fe521Ef39C3A9F528286d82ABa1E02E9649,false,false,false,false,false,true,true,true
0x6E13995B245d4e1E7AE5b8fFD1371470A7967708,false,false,false,false,false,true,true,true
0x5dE36d74D5A8497a18Ed5B495A870e583b83B7da,false,false,false,false,false,true,true,true
0x5085bc94415516C3aAeda2DaE8325934723c4dD9,false,false,false,false,false,true,true,true
0xCcF078a76268Be2B379AaDA2E1BBd7f4aac9797e,false,false,false,false,false,true,true,true
0x4376A8cfEBb2363f05076487857F37a89b429417,false,false,false,false,false,true,true,true
0x1E0A91Ea6A6dc5E36Fe153B9Ac38996Bc6E2f12E,false,false,false,false,false,true,true,true
0x9C929dA3749E6748F5e6795FE8730fba2846D8a7,false,false,false,false,false,true,true,true
0x1024A9a1a89159f819BA6aF9d1688CD78980249A,false,false,false,false,false,true,true,true
0x19E8C4383b1601F1D3D89287779943FF60A08d3E,false,false,false,false,false,false,true,true
0x8dFf26735aB1bB217d837f19b1C2f5d584616Fc6,false,false,false,false,false,true,true,true
0x6DB3675cb405CA7D6ab462041B316579821e762B,false,false,false,false,false,true,true,true
0x358E93E43ABd2f5fDa0C500f2C813266985699c7,false,false,false,false,false,true,true,true
0x3B7e3ff9E864665DD747f2fa6D6A9a0780324c1b,false,false,false,false,false,true,false,false
0x9A053Baf12DE31282C980B330eCd2Af75E1Bf8c0,false,false,false,false,false,true,true,true
0x40cbF39509EEA56d3d1a5Ef10B2b945A2a4270Ca,false,false,false,false,false,true,true,true
0xD8B5A8E3a51e9dEe869156655108EA30F775d0B8,false,false,false,false,false,true,true,true
0xd3e56facc67fdf8BC76ae71e205a78579d06f4B8,false,false,false,false,false,true,true,false
0x6a1A2C1081310a237Cd328B5d7e702CB80Bd2078,false,false,false,false,false,true,true,true
0x697d8CfA1201753b86107d6CE706E9f97b9f52Aa,false,false,false,false,false,true,true,true
0x7Ced4ccfB3FC707A09d271d615A2485ba03a9DA0,false,false,false,false,false,true,true,true
0x5dEF29459e00Af87BCb4Db965DD30b6Ef76E0E23,false,false,false,false,false,true,true,true
0x6834A651b7cCD24474cA380b5CaB608E840eB659,false,false,false,false,false,true,true,true
0x7D848C666d74b94970Cf546196aE20B5421a4adE,false,false,false,false,false,true,true,true
0x2224516E5896774986AdD72fD4F833F502fa9F0D,false,false,false,false,false,true,true,true
0x5Dba29C71575F4b271926c98F5170d86FfEb1bab,false,false,false,false,false,true,false,false
0x78203B00DDd5807F9C971AAC1610C3E24fa2f444,false,false,false,false,false,true,false,true
0x9486ab6a4515ef37eF984bBF3DAc74d290EeC498,false,false,false,false,false,true,true,true
0x32E8547BcF2E3435872419FF47BBB92d37901dC4,false,false,false,false,false,true,true,true
0xa1d4482dC26a30E48642e62bD4E46d1eF4c5D4dB,false,false,false,false,false,true,true,true
0xCd123a950B03401937906fC53C49CF65B4868ed8,false,false,false,false,false,true,true,true
0x7280cdE3CE59A4f0B404Aaa5Cd99Db7C037fDB3f,false,false,false,false,false,true,true,true
0xaA4b3f28416A577EB03156f5DBa913Cc4a314856,false,false,false,false,false,true,true,true
0xFA7E7a79AC32fe399E9C28cBEAE286981A8F8510,false,false,false,false,false,true,true,true
0x73Bc774f53dccEE64E2082d55EB8D63c95Aa76dC,false,false,false,false,false,true,true,true
0x3f4AAD436999dB114BA2632CACC909193676Ae7C,false,false,false,false,false,true,true,true
0x1fCA6539D24262dcaa7c5BD026dD01b63A983188,false,false,false,false,false,true,true,true
0x94D6fb3B55c197eAeFEDC89FA8B820CF9F2c1C85,false,false,false,false,false,true,true,true
0x432BE9E7C7CE8364Ff8a7E586e13f8F6ced18722,false,false,false,false,false,true,true,false
0xE9B3de095762E37867794D6F3023BAdCB183D05F,false,false,false,false,false,true,true,true
0x45F00aB622A0CCE0f1f0FB6550C7C45115B67B67,false,false,false,false,false,true,true,true
0x421a02Ee62c1f6961E0aE87b60ADFFaf06583968,false,false,false,false,false,true,true,true
0x8fca6068fF33aD784f8E63C0C52cC1F1d76496aD,false,false,false,false,false,true,false,false
0x74a4561006D7C63e84F0589b62df78314bC4cBC0,false,false,false,false,false,true,true,true
0xeF22a4FbffFFb202c444cBB2616daca31712D262,false,false,false,false,false,true,true,true
0x22e40e89Afd81a73439dC9A025322C9bF32FB486,false,false,false,false,false,true,true,true
0x48Bcf4f6275170a5F4C5297BC703314dfdB626dC,false,false,false,false,false,true,true,true
0x7718A1f9dFEC9975B2D4F281FE49870D9BdFC517,false,false,false,false,false,true,true,true
0x1dD01a350B6471eFb87C0D958bCDC14BD998368b,false,false,false,false,false,true,true,false
0x45d8B07fC214109F9cfDe59Bbd4e99e89C172b60,false,false,false,false,false,false,true,true
0x80347a93bbe6ff497658fbeefd6af766fd0e3907,false,false,false,false,false,true,true,true
0x60524d686B6acCF34dbE40a0cc1f596f817CbB5F,false,false,false,false,false,true,true,true
0x5FBbEC65B225c186F6b4271951284Bb91eEFe1d3,false,false,false,false,false,true,true,true
0x0B275D46b9C63269B27CCa473035E487e3505d11,false,false,false,false,false,true,false,false
0x316D1Eab426FDE96b75831E461c2DC9CB12c37f9,false,false,false,false,false,true,true,true
0x1999D999D0d6BEE95D0d33cD90e023C3334D86ed,false,false,false,false,false,true,false,false
0x103EaA7d8D4f69065a4F66F25f1bA5aBe0DB8138,false,false,false,false,false,true,false,false
0x12D0a605BDA5C22444536e2D47A0a76d65130194,false,false,false,false,false,true,true,true
0x5c964D0Db060f81e8a2ad6159B72fb6a9756B44d,false,false,false,false,false,true,true,true
0x94a80c1d2A8436F5F2335F69a84C8465405fED01,false,false,false,false,false,true,true,true
0xe4d128c4B6962f82D09908D7C55465b11183bc8f,false,false,false,false,false,true,true,true
0xDfC2e1b5dF8fF8Ace43765791956538B6F356bF7,false,false,false,false,false,true,true,true
0xeBD05f5D749aCC06E48aE6FA436571F8F684323B,false,false,false,false,false,true,true,true
0x64FbeCBc3b643d144aFb0824721a7FB3c01F4c97,false,false,false,false,false,true,false,false
0xcDC2aA3DFc45B1878d686C618F4c65196ef23549,false,false,false,false,false,true,true,true
0x32e6B061A84B8aDef5E5E5004A69f46784825B0B,false,false,false,false,false,true,true,false
0xe4164637547e0C5f4614E04AD6487627d823137F,false,false,false,false,false,false,true,false
0x11590F4593B82E398013417E5aD3B39a0d10C381,false,false,false,false,false,true,true,false
0x181Be450049114b5882DD8Fa85A66B309F8DC67f,false,false,false,false,false,false,false,false
0x352b71c09A5a788d3d46ABF06bdea91c39E60Db7,false,false,false,false,false,true,true,true
0xC2076A08bCe8B5FD9128Df8F25F4307df2f2F29f,false,false,false,false,false,true,true,true
0x3369c32293E70eBd83ed677Bac65736e871AC75b,false,false,false,false,false,true,true,true
0x0F355f03b70879B3A540cB8f53CDF03E1429048B,false,false,false,false,false,false,true,true
0x5577114aaDC95941bac92FBE1C036FC421d48707,false,false,false,false,false,true,false,true
0xD83A095aAa421D76a279d621A826bf07a2F0EB52,false,false,false,false,false,true,true,true
0x14A83420D0Bb7bEBAeFcb64Ba2B8dA309138457d,false,false,false,false,false,true,true,true
0xD19d4b2CEb0DfC4e8F3D21252405d300Da7E2416,false,false,false,false,false,true,true,true
